 ,0  ,1      ,2      ,3      ,4      ,5      ,6
0,1.0,0.80942,0.73842,0.72322,0.71572,0.71398,0.71396
1,0.0,1.0    ,0.80944,0.79146,0.78226,0.77912,0.77922
2,0.0,0.0    ,1.0    ,0.91626,0.90172,0.8979 ,0.89766
3,0.0,0.0    ,0.0    ,1.0    ,0.95466,0.9497 ,0.94974
4,0.0,0.0    ,0.0    ,0.0    ,1.0    ,0.98324,0.98292
5,0.0,0.0    ,0.0    ,0.0    ,0.0    ,1.0    ,0.99836
6,0.0,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,1.0
